evid,orid,arid,commid,datetime,sta,net,auth,subsource,channel,channelsrc,seedchan,location,iphase,qual,clockqual,clockcorr,ccset,fm,ema,azimuth,slow,deltim,delinc,delaz,delslo,quality,snr,rflag,lddate,seaz,delta,wgt,timeres
61568547,3114483,15034768,,1579901767.4178998,MKAH,UW,UW,Jiggle,"","",HNZ,  ,P,i,,,,c.,,,,0.06,,,,0.75,,H,2020-01-24 21:46:55.027046,112.22992667500745,49.9457355025853,0.96,0
61568547,3114483,15034773,,1579901774.8733888,MKAH,UW,UW,Jiggle,"","",HNN,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-01-24 21:46:55.027046,112.22992667500745,49.9457355025853,0,2.19
61568547,3114483,15034778,,1579901767.8297415,OCP,UW,UW,Jiggle,"","",ENZ,  ,P,i,,,,c.,,,,0.03,,,,1,,H,2020-01-24 21:46:55.027046,121.76348054683632,51.31809343113691,1.28,0.24
61568547,3114483,15034783,,1579901775.4680731,OCP,UW,UW,Jiggle,"","",ENN,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-01-24 21:46:55.027046,121.76348054683632,51.31809343113691,0,2.49
61568547,3114483,15034788,,1579901770.00761,B004,PB,UW,Jiggle,"","",EHZ,  ,P,i,,,,c.,,,,0.03,,,,1,,H,2020-01-24 21:46:55.027046,122.74134605320432,69.43044411125666,1.28,0.16
61568547,3114483,15034808,,1579901770.5261395,PABB,CN,UW,Jiggle,"","",HHZ,  ,P,i,,,,d.,,,,0.03,,,,1,,H,2020-01-24 21:46:55.027046,21.271272691432102,80.80218309515455,0,0
61568547,3114483,15034818,,1579901772.147161,FORK,UW,UW,Jiggle,"","",HHZ,  ,P,i,,,,c.,,,,0.06,,,,0.75,,H,2020-01-24 21:46:55.027046,143.76427548833374,81.74930224102683,0.96,0.77
61568547,3114483,15038838,,1579901764.7751024,BFSB,CN,UW,Jiggle,"",SEED,HHZ,  ,P,i,,,,d.,,,,0.03,,,,1,,H,2020-01-30 00:12:21.507774,10.109195503636613,32.90107387467866,1.28,-0.52
61568547,3114483,15038843,,1579901769.7148626,BFSB,CN,UW,Jiggle,"",SEED,HHN,  ,S,i,,,,..,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,10.109195503636613,32.90107387467866,0.96,0.81
61568547,3114483,15038848,,1579901764.7122808,B928,PB,UW,Jiggle,EHZ,SEED,EHZ,  ,P,i,,,,d.,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,10.30641632865121,32.93301235838462,0.96,-0.59
61568547,3114483,15038853,,1579901769.701637,B928,PB,UW,Jiggle,EH1,SEED,EH1,  ,S,i,,,,..,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,10.30641632865121,32.93301235838462,0.96,0.8
61568547,3114483,15038858,,1579901766.8746657,B012,PB,UW,Jiggle,EHZ,SEED,EHZ,  ,P,i,,,,c.,,,,0.03,,,,1,,H,2020-01-30 00:12:21.507774,330.69407704642134,48.806698229368514,1.28,-0.4
61568547,3114483,15038863,,1579901773.107228,B012,PB,UW,Jiggle,EH2,SEED,EH2,  ,S,i,,,,..,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,330.69407704642134,48.806698229368514,0.96,0.7
61568547,3114483,15038868,,1579901767.8335216,PTRF,CN,UW,Jiggle,"",SEED,HHZ,  ,P,i,,,,c.,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,89.4979459754926,59.03362205586209,0.96,-0.73
61568547,3114483,15038873,,1579901774.9224412,PTRF,CN,UW,Jiggle,"",SEED,HHE,  ,S,i,,,,..,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,89.4979459754926,59.03362205586209,0.96,0.21
61568547,3114483,15038878,,1579901770.5393708,NCBC,NV,UW,Jiggle,HHZ,SEED,HHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-01-30 00:12:21.507774,260.1319922041792,71.91090142325335,0.64,0.38
61568547,3114483,15038883,,1579901770.5014405,B927,PB,UW,Jiggle,EHZ,SEED,EHZ,  ,P,i,,,,d.,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,21.276109775621876,80.80488085770695,0.96,-0.75
61568547,3114483,15038888,,1579901779.6512926,B927,PB,UW,Jiggle,EH1,SEED,EH1,  ,S,i,,,,..,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,21.276109775621876,80.80488085770695,0.96,0.16
61568547,3114483,15038893,,1579901782.884339,FORK,UW,UW,Jiggle,"",SEED,HHE,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-01-30 00:12:21.507774,143.76427548833374,81.74930224102683,0,3.15
61568547,3114483,15038898,,1579901771.3720345,B926,PB,UW,Jiggle,EHZ,SEED,EHZ,  ,P,i,,,,d.,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,68.37181237722581,85.35590090383266,0.96,-0.47
61568547,3114483,15038903,,1579901771.415565,CLRS,CN,UW,Jiggle,"",SEED,HHZ,  ,P,i,,,,d.,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,68.37003996991132,85.38055911710039,0.96,-0.43
61568547,3114483,15038908,,1579901781.2151935,CLRS,CN,UW,Jiggle,"",SEED,HHN,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-01-30 00:12:21.507774,68.37003996991132,85.38055911710039,0.64,0.66
61568547,3114483,15038913,,1579901773.1815066,B003,PB,UW,Jiggle,EHZ,SEED,EHZ,  ,P,i,,,,c.,,,,0.03,,,,1,,H,2020-01-30 00:12:21.507774,123.48914048571095,95.71093159011454,1.28,0.05
61568547,3114483,15038918,,1579901773.2221274,SLDQ,UW,UW,Jiggle,"",SEED,HHZ,  ,P,i,,,,c.,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,123.4972639274597,95.7145195353438,0.96,0.09
61568547,3114483,15038923,,1579901775.69815,NLLB,CN,UW,Jiggle,HHZ,SEED,HHZ,  ,P,i,,,,d.,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,49.21337663520029,117.65893866015294,0.96,-0.18
61568547,3114483,15038928,,1579901776.3148477,STW,UW,UW,Jiggle,EHZ,SEED,EHZ,  ,P,i,,,,c.,,,,0.06,,,,0.75,,H,2020-01-30 00:12:21.507774,110.31315173792842,122.12780369884106,0.95,-0.14
61572617,3115323,15045673,,1581176152.6260495,HYS14,OO,UW,Jiggle,"","",MHZ,  ,P,e,,,,..,,,,0.3,,,,0.25,,H,2020-02-15 00:02:18.239047,,,,
61577117,3116023,15054468,,1582511824.5919492,HYSB1,OO,UW,Jiggle,HHZ,SEED,HHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,68.71452678816547,233.6845219142258,0,0
61577117,3116023,15054473,,1582511845.5670357,HYSB1,OO,UW,Jiggle,HHE,SEED,HHE,  ,S,i,,,,..,,,,0.06,,,,0.75,,H,2020-02-24 20:04:56.685952,68.71452678816547,233.6845219142258,0,0
61577117,3116023,15054478,,1582511850.1140177,HYS11,OO,UW,Jiggle,EHE,SEED,EHE,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,68.7096583289449,254.91830883476752,0.88,3.28
61577117,3116023,15054483,,1582511821.2838511,HYS12,OO,UW,Jiggle,EHZ,SEED,EHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,68.75585036215739,255.56782426216265,0.88,-0.37
61577117,3116023,15054488,,1582511843.0654683,HYS12,OO,UW,Jiggle,EHN,SEED,EHN,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,68.75585036215739,255.56782426216265,0.88,-3.91
61577117,3116023,15054493,,1582511834.9988394,ALSE,UO,UW,Jiggle,"",SEED,HHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,78.00243201147214,370.3963839510092,0.88,-1.07
61577117,3116023,15054498,,1582511837.1894672,B026,PB,UW,Jiggle,"","",EHZ,  ,P,i,,,,c.,,,,0.06,,,,0.75,,H,2020-02-24 20:04:56.685952,62.11629729163178,382.8316497467346,1.33,-0.41
61577117,3116023,15054503,,1582511839.0341372,COR,IU,UW,Jiggle,BHZ,SEED,BHZ,00,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,75.26300730700768,396.6959942324876,0.88,-0.34
61577117,3116023,15054508,,1582511838.358278,B024,PB,UW,Jiggle,"","",EHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,57.17373189961148,397.34106437970553,0.88,-1.05
61577117,3116023,15054513,,1582511840.1273606,B022,PB,UW,Jiggle,"","",EHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,52.50241057499187,411.165569912925,0.88,-1
61577117,3116023,15054518,,1582511881.3637764,B022,PB,UW,Jiggle,EH1,SEED,EH1,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,52.50241057499187,411.165569912925,0.88,-0.29
61577117,3116023,15054523,,1582511841.7562916,MINN,UO,UW,Jiggle,"","",HHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,65.96909729646654,419.0006250250464,0.88,-0.39
61577117,3116023,15054528,,1582511842.2164118,B028,PB,UW,Jiggle,"","",EHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,77.34202861371631,421.4728957477392,0.88,-0.26
61577117,3116023,15054533,,1582511883.7410586,B028,PB,UW,Jiggle,EH2,SEED,EH2,  ,S,i,,,,..,,,,0.06,,,,0.75,,H,2020-02-24 20:04:56.685952,77.34202861371631,421.4728957477392,1.33,-0.31
61577117,3116023,15054538,,1582511843.5861948,FISH,UW,UW,Jiggle,"","",HHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,54.941416579901556,433.7842494154445,0.88,-0.38
61577117,3116023,15054543,,1582511844.7973156,WLOO,UO,UW,Jiggle,"","",HHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,77.2805527962073,439.70115009920227,0.88,0.03
61577117,3116023,15054548,,1582511845.5774043,VERN,UO,UW,Jiggle,"","",HHZ,  ,P,i,,,,c.,,,,0.06,,,,0.75,,H,2020-02-24 20:04:56.685952,57.49024320435154,450.2143212892559,1.33,-0.46
61577117,3116023,15054553,,1582511847.280583,MARQ,UO,UW,Jiggle,"",SEED,HHZ,  ,P,e,,,,..,,,,0.3,,,,0.25,,H,2020-02-24 20:04:56.685952,69.90812744633183,458.2248109687177,0.44,0.19
61577117,3116023,15054558,,1582511848.6157837,B023,PB,UW,Jiggle,"","",EHZ,  ,P,i,,,,c.,,,,0.06,,,,0.75,,H,2020-02-24 20:04:56.685952,55.22643171296852,475.903986435619,1.33,-0.64
61577117,3116023,15054563,,1582511849.427605,RAIN,UO,UW,Jiggle,"","",HHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,55.87348280740093,478.7858823853277,0.88,-0.19
61577117,3116023,15054568,,1582511852.37872,RVW2,UW,UW,Jiggle,"","",EHZ,  ,P,i,,,,d.,,,,0.06,,,,0.75,,H,2020-02-24 20:04:56.685952,56.31045614813212,500.6530829650766,1.33,0.01
61577117,3116023,15054573,,1582511856.4774914,FL2,UW,UW,Jiggle,"","",EHZ,  ,P,i,,,,c.,,,,0.06,,,,0.75,,H,2020-02-24 20:04:56.685952,57.46825466727819,529.2175411782999,1.33,0.52
61577117,3116023,15054578,,1582511856.408738,LCW2,UW,UW,Jiggle,"","",EHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,51.197544436747705,533.9025094593499,0.88,-0.11
61577117,3116023,15054583,,1582511857.7679431,SHW,UW,UW,Jiggle,"","",EHZ,  ,P,i,,,,c.,,,,0.06,,,,0.75,,H,2020-02-24 20:04:56.685952,57.95088270399401,536.9939766996501,1.33,0.85
61577117,3116023,15054588,,1582511857.5378833,B204,PB,UW,Jiggle,"","",EHZ,  ,P,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-24 20:04:56.685952,58.807124775655495,538.5494384837456,0.88,0.4
61578142,3116298,15058088,,1582790388.8065867,B001,PB,UW,Jiggle,"","",EH2,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-27 08:09:17.526637,240.47389000835977,2.0143325131073317,1.05,0.06
61578142,3116298,15058138,,1582790392.4137857,DOSE,UW,UW,Jiggle,"","",HHE,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-27 08:09:17.526637,164.7075684393884,38.585238854280746,1.05,-0.2
61578142,3116298,15058148,,1582790383.3892796,B001,PB,UW,Jiggle,"","",EHZ,  ,P,i,,,,d.,,,,0.03,,,,1,,H,2020-02-27 19:20:48.584783,240.47389000835977,2.0143325131073317,2.1,-0.17
61578142,3116298,15058153,,1582790383.455268,BLN,UW,UW,Jiggle,"","",HNZ,  ,P,i,,,,d.,,,,0.03,,,,1,,H,2020-02-27 19:20:48.584783,116.60228435087674,11.247931059867335,2.1,-0.13
61578142,3116298,15058158,,1582790388.84,BLN,UW,UW,Jiggle,"","",HNN,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-27 19:20:48.584783,116.60228435087674,11.247931059867335,1.05,0.04
61578142,3116298,15058163,,1582790384.5279703,B006,PB,UW,Jiggle,"","",EHZ,  ,P,i,,,,d.,,,,0.03,,,,1,,H,2020-02-27 19:20:48.584783,271.629115275735,29.216639399666104,2.1,-0.12
61578142,3116298,15058168,,1582790390.9390402,B006,PB,UW,Jiggle,"","",EH2,  ,S,i,,,,..,,,,0.06,,,,0.75,,H,2020-02-27 19:20:48.584783,271.629115275735,29.216639399666104,1.57,0.25
61578142,3116298,15058173,,1582790384.5580776,B943,PB,UW,Jiggle,"","",EHZ,  ,P,i,,,,d.,,,,0.03,,,,1,,H,2020-02-27 19:20:48.584783,151.05395603817846,30.322721135675554,2.1,-0.18
61578142,3116298,15058178,,1582790390.5387912,B943,PB,UW,Jiggle,"","",EH2,  ,S,i,,,,..,,,,0.06,,,,0.75,,H,2020-02-27 19:20:48.584783,151.05395603817846,30.322721135675554,1.57,-0.31
61578142,3116298,15058183,,1582790385.4852033,HURR,UW,UW,Jiggle,"","",HNZ,  ,P,i,,,,..,,,,0.06,,,,0.75,,H,2020-02-27 19:20:48.584783,252.80410367808977,30.461088820068625,1.57,0.48
61578142,3116298,15058188,,1582790385.5506103,DOSE,UW,UW,Jiggle,"","",HHZ,  ,P,i,,,,d.,,,,0.03,,,,1,,H,2020-02-27 19:20:48.584783,164.7075684393884,38.585238854280746,2.1,-0.18
61578142,3116298,15058193,,1582790386.1507657,STW,UW,UW,Jiggle,"","",EHZ,  ,P,i,,,,d.,,,,0.03,,,,1,,H,2020-02-27 19:20:48.584783,284.9086134007617,43.23897275268941,2.1,0.1
61578142,3116298,15058198,,1582790393.6513221,STW,UW,UW,Jiggle,"","",ENN,  ,S,e,,,,..,,,,0.15,,,,0.5,,H,2020-02-27 19:20:48.584783,284.9086134007617,43.23897275268941,1.05,0.47
61578142,3116298,15058203,,1582790385.688895,VGZ,CN,UW,Jiggle,"","",HHZ,  ,P,i,,,,d.,,,,0.03,,,,1,,H,2020-02-27 19:20:48.584783,338.2408253636477,43.257259995675774,2.1,-0.51
